full_name,a,e,G,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,neo,pha,moid
   253 Mathilde,2.648975058,0.262910144,,6.738632097,179.5549998,157.6800373,1.952532644,3.345417471,4.3114664,48833,0,3751,10.3,52.8,,0.0436,417.7,0.00689,,,,Cb,,N,N,0.944681
   254 Augusta,2.194435761,0.121809242,,4.512752493,28.46450923,233.3364192,1.927133205,2.461738317,3.250816911,48616,0,2901,12.13,12.467,,0.17,5.8949,,0.845,0.505,,,S,N,N,0.9156
   255 Oppavia,2.745984113,0.078747912,,9.463292812,13.60862122,155.7228654,2.529743598,2.962224628,4.550459282,48718,0,2465,10.39,56.939,,0.038,19.499,,0.764,0.275,,,X,N,N,1.53813
   256 Walpurga,3.000546577,0.066066221,,13.32499501,182.9334729,47.09822177,2.802311805,3.198781349,5.1976707,48537,0,2432,9.9,66.634,,0.05,16.664,,,,,,,N,N,1.81281
   257 Silesia,3.125705545,0.110635729,,3.615904954,34.23646078,29.98761881,2.779890834,3.471520255,5.526247061,48713,0,2804,9.47,72.66,,0.0545,15.7095,,0.761,0.384,,Ch,SCTU,N,N,1.79359
   258 Tyche,2.61553151,0.204119389,0.23,14.32230095,207.5643947,155.6140498,2.081650817,3.149412203,4.230075677,48677,0,2403,8.5,64.78,,0.1676,10.041,,0.876,0.459,,S,S,N,N,1.08817
   259 Aletheia,3.132889323,0.128844157,,10.81762957,86.85015174,168.1021101,2.72923484,3.536543805,5.545309382,44168,0,2439,7.76,174.318,,0.043,8.143,,0.698,0.311,,X,CP,N,N,1.71496
   260 Huberta,3.45409177,0.112443397,,6.404563738,165.2819388,180.0688217,3.065701958,3.842481582,6.419615399,41176,0,3116,8.97,101.539,,0.044,8.29,,0.714,0.306,,,CX:,N,N,2.05747
   261 Prymno,2.331833577,0.088878193,0.19,3.635933841,96.62987051,65.79299121,2.124584423,2.53908273,3.560856969,37200,0,2487,9.44,50.011,,0.137,8.002,,0.7,0.299,,X,B,N,N,1.13623
   262 Valda,2.552607456,0.213162812,,7.684768124,38.48846411,25.43725424,2.008486474,3.096728439,4.078347735,47044,0,2364,11.67,14.645,,0.211,17.386,,0.85,0.557,,,S,N,N,1.02409
   263 Dresda,2.886862056,0.077587834,,1.32041366,216.1692699,162.6949439,2.662876681,3.110847431,4.905093054,44368,0,2933,10.2,23.952,,0.198,16.809,,,,,S,,N,N,1.66398
   264 Libussa,2.796852458,0.137092132,,10.42520404,49.59925573,340.5995305,2.41342599,3.180278926,4.677486442,46052,0,2078,8.42,62.969,,0.187,9.2276,,0.84,0.419,,S,S,N,N,1.42165
   265 Anna,2.419799425,0.267370201,,25.6433251,335.5436716,251.6801193,1.772817166,3.066781684,3.764239573,43733,0,1937,11.9,22.767,,0.113,11.681,,,,,,,N,N,0.913127
   266 Aline,2.807292039,0.15392114,,13.40304719,235.8611015,151.278485,2.375190449,3.239393629,4.703699768,46886,0,2443,8.8,109.494,,0.059,13.018,,0.707,0.336,,Ch,C,N,N,1.38951
   267 Tirza,2.775406808,0.098652211,,6.003219889,73.74745159,196.6117662,2.501606789,3.049206828,4.623790797,40705,0,2725,10.2,55.998,,0.051,7.648,,,,,D,DU,N,N,1.48577
   268 Adorea,3.090744718,0.137356825,,2.440486336,120.8591176,68.79659705,2.666209838,3.515279599,5.433790697,45179,0,2780,8.28,144.585,,0.041,7.8,,0.663,0.285,,,FC,N,N,1.6684
   269 Justitia,2.616242979,0.213172843,,5.477275903,156.7340219,119.5091829,2.058531024,3.173954934,4.231801772,47308,0,2806,9.7,50.728,,0.061,33.128,,,,,Ld,,N,N,1.04838
   270 Anahita,2.198150619,0.150425837,,2.368374202,254.3498623,80.68417857,1.867491972,2.528809266,3.259075138,44364,0,2633,8.75,51.4,,0.211,15.06,,0.866,0.53,,,S,N,N,0.858449
   271 Penthesilea,3.004541173,0.103812765,,3.538835974,335.3489114,57.97084743,2.692631445,3.316450901,5.20805356,42188,0,2581,9.8,65.901,,0.045,18.787,,0.724,0.348,,,PC,N,N,1.70003
   272 Antonia,2.780253759,0.026978637,,4.43408613,37.38511235,67.77598439,2.705246303,2.855261215,4.635908517,36871,0,2640,10.6,26.87,,0.128,3.8548,,,,,X,,N,N,1.72617
   273 Atropos,2.39497689,0.160267929,,20.44999317,158.9264622,120.9707794,2.011138904,2.778814877,3.706467471,40008,0,2493,10.26,29.768,,0.212,23.924,,0.76,0.374,,,SCTU,N,N,1.06001
   274 Philagoria,3.045410485,0.119461994,,3.677539991,92.79482015,119.7223303,2.681599675,3.409221294,5.314678037,46043,0,2837,10,27.307,,0.237,17.938,,,,,,,N,N,1.67805
   275 Sapientia,2.769711341,0.163930452,,4.764284007,134.0501295,39.70275076,2.31567131,3.223751372,4.609565243,46611,0,2882,8.85,103,,0.049,14.931,,0.723,0.324,,C,X,N,N,1.32393
   276 Adelheid,3.116731058,0.067349795,,21.61318085,211.1575795,265.1803863,2.906819859,3.326642257,5.502463816,43826,0,2629,8.7,114.723,,0.051,6.315,,0.708,0.271,,,X,N,N,2.01547
   277 Elvira,2.884835006,0.09193678,,1.162741107,231.2548865,137.1798591,2.619612564,3.150057449,4.899927694,43741,0,2661,9.84,30.422,,0.196,29.69,,0.806,0.436,,,S,N,N,1.61784
   278 Paulina,2.756412754,0.131790739,,7.817387128,62.00056988,139.7129117,2.39314308,3.119682428,4.576406338,46903,0,2774,9.4,32.773,,0.247,6.497,,,,,S,,N,N,1.39565
   279 Thule,4.283402229,0.04013378,,2.335777723,71.96663026,23.16865387,4.111493108,4.45531135,8.865260259,47005,0,2768,8.57,126.59,,0.0412,23.896,,0.746,0.232,,X,D,N,N,3.12849
   280 Philia,2.941009104,0.109789201,,7.440500456,9.867041402,89.6187858,2.618118065,3.263900143,5.04374075,47199,0,2364,10.9,45.69,,0.0444,70.26,,0.65,0.22,,,,N,N,1.64833
   281 Lucretia,2.187358803,0.13267527,0.28,5.303962169,31.40887174,16.58788825,1.897150383,2.477567223,3.235103985,47140,0,3117,12.02,11.036,,0.226,4.348,,0.918,0.53,,S,SU,N,N,0.906903
   282 Clorinde,2.340028261,0.080369273,,9.032814942,144.9000461,296.6478825,2.151961891,2.528094632,3.579644152,44131,0,2573,10.91,39.03,,0.0502,6.42,,0.628,0.274,,B,BFU::,N,N,1.18504
   283 Emma,3.048961199,0.144215334,,7.988476304,303.9016546,55.10294901,2.609254242,3.488668157,5.323975506,45878,0,2730,8.72,132.385,,0.023,6.896,,0.712,0.297,,,X,N,N,1.6142
   284 Amalia,2.358235276,0.222112557,0.11,8.057572907,233.7120223,58.06386898,1.834441608,2.882028943,3.621503419,45931,0,2662,10.05,52.95,,0.0602,8.545,,0.698,0.38,,Ch,CX,N,N,0.832825
   285 Regina,3.088057963,0.205305218,,17.60920196,311.239715,14.15756753,2.454063549,3.722052378,5.426706923,39435,0,2037,10.7,47.156,,0.05,9.542,,,,,,,N,N,1.44401
   286 Iclea,3.195584064,0.028222733,,17.89769818,149.0875863,211.6740141,3.105395947,3.285772181,5.712596802,44378,0,2676,9,94.3,,0.0508,15.365,,0.69,0.328,,Ch,CX,N,N,2.10386
   287 Nephthys,2.352822087,0.023313176,0.22,10.03469232,142.3263526,119.0241027,2.297970331,2.407673843,3.609041159,44950,0,3135,8.3,59.615,,0.238,7.605,,0.873,0.49,,,S,N,N,1.29532
   288 Glauke,2.761785978,0.205392632,,4.336077409,120.1104622,84.98538108,2.194535488,3.329036468,4.58979441,46744,0,2767,9.84,28.981,,0.175,1170,,0.845,0.407,,S,S,N,N,1.19619
   289 Nenetta,2.875996949,0.201247761,,6.678775286,181.9524619,190.3378741,2.297209002,3.454784895,4.877427625,42748,0,2960,9.51,37.586,,0.889,6.902,,1.047,0.655,,A,A,N,N,1.29688
   290 Bruna,2.338209396,0.25685629,,22.32658685,10.48960092,105.1155937,1.737625605,2.938793188,3.575471367,38012,0,1419,12,9.822,,0.314,13.807,,,,,,,N,N,0.8755
   291 Alice,2.221928558,0.091994168,,1.855549466,161.6501819,331.615989,2.01752409,2.426333026,3.312099222,46730,0,3141,11.45,10.456,,0.425,4.313,,,,,,,N,N,1.03232
   292 Ludovica,2.530516614,0.034097862,,14.89404723,43.53246076,285.5187343,2.444231409,2.61680182,4.02552003,46743,0,2138,9.9,30.864,,0.187,8.93,,0.86,0.44,,,,N,N,1.47881
   293 Brasilia,2.861250417,0.106208907,,15.58255026,61.3061849,86.84720354,2.557360137,3.165140696,4.839962599,40171,0,2095,9.94,57.486,,0.056,8.17,,0.721,0.352,,,CX,N,N,1.62743
   294 Felicia,3.154375019,0.233051132,,6.264464392,135.7213217,185.9634386,2.41924435,3.889505689,5.602452581,41360,0,2953,10.1,51.865,,0.095,10.4227,,,,,,,N,N,1.40586
   295 Theresia,2.794518041,0.171430993,,2.708541444,276.0376892,147.9248995,2.315451039,3.273585044,4.671631508,43866,0,2551,10.19,28.34,,0.171,10.702,,0.862,0.501,,S,S,N,N,1.32911
   296 Phaetusa,2.22881218,0.160542593,,1.747386518,121.5793817,252.4654543,1.870992893,2.586631466,3.327502656,36040,0,2357,12.62,8.196,,0.379,4.5385,,0.887,0.463,,,S,N,N,0.871683
   297 Caecilia,3.16882514,0.141675263,,7.5443889,331.999744,353.446562,2.719881006,3.617769274,5.640993699,43574,0,2736,9.1,39.48,,0.1796,4.163,,,,,,,N,N,1.70739
   298 Baptistina,2.263909736,0.096151401,,6.285082996,8.171415229,135.2577643,2.046231644,2.481587828,3.40640956,46541,0,2419,11.2,21.135,,0.131,16.23,,,,,,,N,N,1.06356
   299 Thora,2.433647274,0.061726567,,1.606326753,241.4812772,152.0503077,2.283426583,2.583867965,3.796598325,31697,0,2696,11.3,15.757,,0.251,272.9,,,,,,,N,N,1.28869
   300 Geraldina,3.204839014,0.057053215,,0.731792715,42.65999664,324.9412657,3.021992645,3.387685383,5.737431725,43441,0,2924,9.8,67.373,,0.052,6.8423,,,,,,,N,N,2.01961
   301 Bavaria,2.726095984,0.067497437,,4.894357647,142.3412416,124.9440148,2.542091492,2.910100475,4.501113007,46972,0,3012,10.3,53.042,,0.057,12.253,,,,,C,,N,N,1.52952
   302 Clarissa,2.405273148,0.111460711,,3.413362277,7.849699294,54.35390448,2.137179694,2.673366603,3.730394884,46534,0,2714,10.89,38.53,,0.0524,14.381,,0.639,0.294,,,F,N,N,1.15173
   303 Josephina,3.124396031,0.060596733,,6.868982454,343.9650409,64.18047479,2.935067839,3.313724223,5.522774595,46908,0,2725,8.9,124.923,,0.034,12.497,,,,,,,N,N,1.95185
   304 Olga,2.403604099,0.221607224,0.07,15.84561971,159.0305987,172.2867179,1.870948067,2.936260131,3.726512705,46925,0,2518,9.74,65.99,,0.047,18.36,,0.708,0.249,,Xc,C,N,N,0.861074
   305 Gordonia,3.088414717,0.195454779,,4.450165998,207.4762249,260.8525494,2.4847693,3.692060134,5.427647346,46474,0,2514,8.77,47.739,,0.238,12.893,,0.919,0.507,,,S,N,N,1.50652
   306 Unitas,2.357924744,0.15079186,,7.277329949,141.8654756,167.7898875,2.002368887,2.713480601,3.620788124,46809,0,2429,8.96,47.2,,0.201,8.736,,0.864,0.453,,S,S,N,N,0.98785
   307 Nike,2.907517524,0.143470034,,6.125833861,100.95607,324.5127135,2.490375887,3.324659161,4.957830944,46783,0,2677,10.12,61.313,,0.043,11.857,,0.669,0.267,,,CX,N,N,1.50703
   308 Polyxo,2.749537086,0.040542223,0.21,4.360811435,181.721202,114.5814899,2.638064742,2.861009431,4.55929376,46884,0,3011,8.17,128.578,,0.047,12.029,,0.783,0.379,,T,T,N,N,1.62539
   309 Fraternitas,2.664996203,0.113520245,,3.714272159,356.5276749,310.6413339,2.362465181,2.967527226,4.350639457,46889,0,2829,10.6,41.075,,0.056,22.398,,,,,,,N,N,1.34902
   310 Margarita,2.761764109,0.113329332,,3.172269764,229.2710506,324.9750527,2.448775228,3.074752991,4.589739895,38937,0,2815,10.1,33.708,,0.115,12.07,,,,,S,,N,N,1.44883
   311 Claudia,2.899114348,0.00260593,,3.22725206,81.00940409,79.38388605,2.89155946,2.906669237,4.936353133,42718,0,3237,10,26.3,,0.322,7.532,,0.843,0.437,,,S,N,N,1.88473
   312 Pierretta,2.782119423,0.159549545,,9.029081057,6.259151181,262.7181598,2.338233534,3.226005311,4.640575625,46640,0,2478,8.89,46.191,,0.23,10.282,,0.843,0.429,,Sk,S,N,N,1.3435
   313 Chaldaea,2.374700647,0.181823313,,11.65064444,176.5853439,316.0749224,1.942924709,2.806476586,3.65949795,46198,0,2683,8.9,77.853,,0.039,8.392,,0.715,0.342,,,C,N,N,0.973294
   314 Rosalia,3.160634656,0.171818325,,12.50981921,170.015965,191.1214363,2.617579703,3.703689609,5.619137365,46734,0,2655,9.9,60.689,,0.043,20.465,,,,,,,N,N,1.61444
   315 Constantia,2.241299365,0.16794471,,2.428618779,161.6368948,172.846491,1.864884994,2.617713736,3.355505881,33189,0,2457,12.5,6.534,,0.217,5.345,,,,,,,N,N,0.85402
   316 Goberta,3.179608009,0.135273381,,2.338950594,123.9018999,314.9947472,2.749491682,3.609724336,5.669810915,46730,0,3231,10.1,56.067,,0.061,8.605,,,,,,,N,N,1.76561
   317 Roxane,2.286650306,0.0850737,,1.765678387,151.351714,186.7279625,2.092116503,2.481184109,3.457863399,46730,0,2893,10.03,18.648,,0.926,8.169,,0.694,0.238,,Xe,E,N,N,1.08181
   318 Magdalena,3.195414674,0.084683392,,10.654282,161.5003228,296.2732234,2.924816122,3.466013226,5.712142591,46562,0,2673,9.4,85,,0.054,42.49,,0.685,0.29,,,CXF,N,N,1.9612
   319 Leona,3.403544112,0.216878698,,10.56423431,184.9411107,228.1673229,2.665387896,4.141700328,6.279213905,46600,0,2577,10.1,49.943,,0.085,430,,,,,,,N,N,1.68928
   320 Katharina,3.009980087,0.117073568,,9.379285961,219.9208507,149.7631555,2.657590978,3.362369196,5.222201629,40728,0,2410,10.8,23.362,,0.155,6.893,,,,,,,N,N,1.66216
   321 Florentina,2.885377376,0.046660537,,2.587287566,40.2245869,36.24914657,2.750744118,3.020010634,4.901309591,46234,0,2725,10.1,27.974,,0.425,2.871,,0.792,0.41,,S,S,N,N,1.76614
   322 Phaeo,2.780799918,0.246154686,,8.054398749,252.3646226,114.9328926,2.096292986,3.46530685,4.637274615,46644,0,2509,9.01,69.855,,0.089,17.5845,,0.719,0.23,,X,X,N,N,1.11016
   323 Brucia,2.383761925,0.299135074,,24.25120856,97.3144195,291.4333626,1.670695125,3.096828724,3.680463543,46627,0,2049,9.73,27.714,,0.295,9.463,,0.893,0.48,,,S,N,N,0.809292
   324 Bamberga,2.681447013,0.340654612,0.09,11.10170201,327.8510085,44.28056381,1.767999721,3.594894304,4.390985788,46442,0,2884,6.82,220.691,,0.05,29.43,,0.695,0.309,,,CP,N,N,0.784536
   325 Heidelberga,3.21648769,0.157054605,,8.540538687,344.7829363,69.02022108,2.711323488,3.721651893,5.768741026,46554,0,2300,8.65,75.72,,0.1068,6.737,,0.714,0.268,,,M,N,N,1.73652
   326 Tamara,2.317175888,0.190364351,,23.72969187,32.20152575,238.5862392,1.876068205,2.758283571,3.527334964,45886,0,1941,9.36,93,,0.0368,14.445,,0.708,0.318,,,C,N,N,0.943952
   327 Columbia,2.775977587,0.060939112,,7.141161268,354.7730174,307.0499075,2.60681198,2.945143195,4.625217236,46535,0,3537,9.9,30.291,,0.214,5.932,,,,,Sl,,N,N,1.59872
   328 Gudrun,3.115053515,0.105272132,,16.09267928,352.2195185,105.0571043,2.787125192,3.442981839,5.498021962,39434,0,2045,8.8,145.68,,0.025,10.992,,,,,,S,N,N,1.85616
   329 Svea,2.476989162,0.024504702,,15.87847254,178.477607,54.4566735,2.416291281,2.537687044,3.898471484,46531,0,2777,9.6,81.057,,0.039,22.778,,0.698,0.331,,,C,N,N,1.43261
   330 Adalberta (A910 CB),2.467536242,0.25329514,,6.757106318,137.1306556,259.1587928,1.842521303,3.09255118,3.876176215,39907,0,2523,12.4,9.111,,0.256,3.5553,,,,,,,N,N,0.862972
   331 Etheridgea,3.029221839,0.097296094,,6.037947509,21.96099351,332.7798762,2.734490385,3.323953294,5.272357143,46525,0,2814,9.62,74.92,,0.0447,25.315,,0.698,0.298,,C,CX,N,N,1.73091
   332 Siri,2.773338152,0.087885426,,2.84523267,31.5666998,297.4137379,2.529602148,3.017074156,4.61862223,46539,0,2829,9.7,40.37,,0.1719,8.0074,,,,,Xk,,N,N,1.51913
   333 Badenia (1892 A),3.130541139,0.159333101,,3.739295593,353.1690946,22.6936435,2.631742311,3.629339966,5.539076015,46385,0,2830,9.46,72.199,,0.047,9.862,,0.773,0.401,,,C:,N,N,1.63263
   334 Chicago (1892 L),3.890299279,0.02350182,,4.64311253,130.1632141,148.7710857,3.798870165,3.981728392,7.673309598,46279,0,2802,7.7,198.77,,0.041,7.361,,0.736,0.358,,,C,N,N,2.78295
   335 Roberta (1892 C),2.474842107,0.172777242,,5.101117079,148.4399461,140.0665001,2.047245712,2.902438502,3.893403788,46271,0,3386,8.96,97.109,,0.049,12.054,,0.624,0.235,,B,FP,N,N,1.03348
   336 Lacadiera (1892 D),2.251446036,0.095491003,,5.653639987,235.0379508,31.405689,2.036453196,2.466438875,3.378317907,46254,0,3022,9.76,67.513,,0.044,13.7,,0.733,0.273,,Xk,D,N,N,1.0228
   337 Devosa (1892 E),2.382994911,0.136946104,0.19,7.853661616,355.4726836,98.48056865,2.056653042,2.70933678,3.678687314,46247,0,2103,8.74,64.549,,0.135,4.653,,0.731,0.29,,X,X,N,N,1.09062
   338 Budrosa (1892 F),2.911311155,0.022217237,,6.050031771,287.4230345,110.117441,2.846629865,2.975992444,4.967537323,46248,0,2219,8.5,50.506,,0.276,4.6084,,0.704,0.247,,Xk,M,N,N,1.86007
   339 Dorothea (1892 G),3.013079742,0.097752765,,9.962295419,173.4999322,164.3981466,2.718542865,3.307616619,5.230270383,46229,0,2720,9.24,44.329,,0.198,5.974,,0.783,0.405,,K,S,N,N,1.71054
   340 Eduarda (1892 H),2.746377325,0.115893705,,4.667976127,26.9761312,43.02343075,2.428089481,3.064665169,4.551436724,46351,0,2664,9.9,28.025,,0.247,8.0062,,,,,,S,N,N,1.44447
   341 California (1892 J),2.199802913,0.194223498,,5.666865602,29.03966068,293.6656138,1.772549496,2.627056329,3.262750473,46349,0,2628,10.55,15.83,,0.425,318,,0.92,,,,S,N,N,0.769078
   342 Endymion (1892 K),2.568153796,0.129296902,,7.352661377,232.6688685,225.1469199,2.236099465,2.900208126,4.115662413,46328,0,2580,10.22,60.903,,0.038,6.319,,0.712,0.356,,Ch,C,N,N,1.25972
   343 Ostara (1892 N),2.411821556,0.228997561,,3.259340397,38.59474121,10.24618556,1.859520302,2.964122809,3.745639366,46300,0,2550,11.56,18.213,,0.092,109.87,,0.77,0.463,,,CSGU,N,N,0.869314
   344 Desiderata (1892 M),2.597371337,0.313513564,,18.34577636,48.04044305,237.5163342,1.783060192,3.411682482,4.186096809,46183,0,2182,8.08,124.181,,0.067,10.747,,0.725,0.382,,,C,N,N,0.833017
   345 Tercidina (1892 O),2.325583448,0.061132998,0.1,9.744102128,212.610947,231.1955099,2.183413558,2.467753337,3.546550055,46290,0,2502,8.71,96.865,,0.037,12.371,,0.729,0.411,,Ch,C,N,N,1.21067
   346 Hermentaria (1892 P),2.796472879,0.10191815,,8.752262384,91.94145971,292.0678559,2.511461536,3.081484222,4.676534256,46143,0,2099,7.13,86.447,,0.332,28.523,,0.843,0.485,,S,S,N,N,1.53123
   347 Pariana (1892 Q),2.611527039,0.166439997,,11.68122182,85.51391508,86.17041871,2.176864487,3.046189591,4.220364803,46282,0,2717,8.96,48.615,,0.19,4.0529,,0.685,0.259,,,M,N,N,1.22027
   348 May (1892 R),2.96800734,0.07035155,,9.758881033,89.91384304,13.97614736,2.759203422,3.176811257,5.113351622,46285,0,2843,9.4,82.82,,0.0448,7.3812,,,,,X,,N,N,1.77728
   349 Dembowska (1892 T),2.922609832,0.091589077,0.37,8.246177556,32.3419436,345.7586208,2.654930693,3.19028897,4.99648357,46161,0,2618,5.93,139.77,,0.384,4.701,,0.945,0.54,,R,R,N,N,1.65738
   350 Ornamenta (1892 U),3.110749834,0.159428115,,24.89234486,90.09673232,338.0920546,2.614808852,3.606690816,5.486632002,46113,0,1959,8.37,128.729,,0.048,9.178,,0.702,0.36,,,C,N,N,1.64167
   351 Yrsa (1892 V),2.768016477,0.153815255,,9.204778972,99.19802699,31.92560076,2.342253318,3.193779636,4.605334807,46238,0,2229,8.98,39.72,,0.286,13.29,,0.835,0.41,,,S,N,N,1.3633
   352 Gisela (1893 B),2.194086494,0.149678476,,3.384806303,247.2830104,144.6816823,1.865678971,2.522494016,3.25004084,46052,0,2490,10.01,26.744,,0.195,7.49,,0.904,0.539,,Sl,S,N,N,0.872211
   353 Ruperto-Carola (1893 F),2.735550871,0.327653494,,5.708192215,102.4702054,321.3976792,1.83923807,3.631863673,4.524550038,46060,0,3095,10.9,14.025,,0.392,2.73898,,,,,S,,N,N,0.856571
   354 Eleonora (1893 A),2.798632549,0.114052816,0.37,18.3992883,140.3528242,5.56265887,2.479440626,3.117824472,4.681952717,46105,0,2728,6.44,148.97,,0.201,4.277,,0.949,0.601,,Sl,S,N,N,1.4929
   355 Gabriella (1893 E),2.537376746,0.106106962,,4.282876852,351.814616,105.5927747,2.268143408,2.806610085,4.041900661,46226,0,2691,10.1,24.04,,0.341,4.83,,,,,S,,N,N,1.28959
   356 Liguria (1893 G),2.756209678,0.240180588,,8.20258746,354.5241242,79.32330383,2.094221617,3.418197739,4.575900605,46213,0,2248,8.22,145.503,,0.065,31.701,,0.733,0.349,,,C,N,N,1.127
   357 Ninina (1893 J),3.149788635,0.076339786,,15.05518544,137.6540939,255.3823582,2.909334446,3.390242824,5.590238279,40875,0,2636,8.72,124.107,,0.037,36.0105,,0.715,0.35,,,CX,N,N,1.95633
   358 Apollonia (1893 K),2.876745827,0.152920753,,3.553735619,172.1531225,253.105624,2.43683169,3.316659964,4.879332793,44230,0,2990,9.2,90.116,,0.05,50.6,,,,,Ch,,N,N,1.45296
   359 Georgia (1893 M),2.727222199,0.157433199,,6.771862545,6.058243946,338.34423,2.297866883,3.156577515,4.50390257,42801,0,2271,8.86,43.89,,0.2621,5.537,,0.723,0.303,,X,CX,N,N,1.29141
   360 Carlova (1893 N),3.007699194,0.175994577,,11.69433884,132.4073477,288.4494583,2.478360446,3.537037943,5.21626686,42152,0,2677,8.48,129.125,,0.043,6.183,,0.692,0.269,,C,C,N,N,1.52122
   361 Bononia (1893 P),3.957966613,0.21295206,,12.62437431,18.87270234,68.46154259,3.115109468,4.800823759,7.874380416,43244,0,2442,8.22,154.334,,0.038,13.835,,0.743,0.271,,,DP,N,N,2.16046
   362 Havnia (1893 R),2.578288377,0.043630845,,8.064110787,27.323998,31.82139023,2.465795477,2.690781277,4.140048592,43773,0,2446,9,98,,0.052,16.92,,0.715,0.346,,,XC,N,N,1.47944
   363 Padua (1893 S),2.747942057,0.071023064,,5.947000862,64.74705521,296.1980118,2.552774792,2.943109322,4.555327009,46647,0,3282,9.01,97,,0.059,8.401,,0.751,0.375,,X,XC,N,N,1.55616
   364 Isara (1893 T),2.220472426,0.14948221,,6.00368588,105.5374135,312.7440783,1.888551301,2.552393552,3.308843899,43574,0,2565,9.86,25.901,,0.3,9.156,,0.912,0.538,,,S,N,N,0.906795
   365 Corduba (1893 V),2.801577638,0.157280767,,12.79122043,185.1857854,216.2112221,2.360943357,3.242211919,4.689345111,44206,0,2866,9.2,86.773,,0.05,12.705,,0.714,0.331,,C,X,N,N,1.37923
   366 Vincentina (1893 W),3.145751656,0.056006055,,10.57668646,346.7156897,332.761827,2.969570517,3.321932796,5.579494492,44370,0,2672,8.7,86.368,,0.091,12.7365,,,,,Ch,,N,N,1.96105
   367 Amicitia (1893 AA),2.219984246,0.095667589,,2.941569504,83.44866424,55.86535621,2.007603705,2.432364787,3.307752764,41420,0,2612,10.7,21.243,,0.393,5.05538,,,,,,,N,N,1.02308
   368 Haidea (1893 AB),3.074927776,0.20074569,,7.796177202,226.3363251,95.17664527,2.457649278,3.692206273,5.392132822,41434,0,2599,9.93,69.277,,0.038,9.823,,0.734,0.292,,,D,N,N,1.45993
   369 Aeria (1893 AE),2.648732133,0.09630027,,12.71728602,94.16139502,269.5615122,2.393658514,2.903805752,4.310873337,46063,0,2211,8.52,73.767,,0.127,4.778,,0.711,0.274,,,M,N,N,1.43158
   370 Modestia (1893 AC),2.324238202,0.09142732,,7.865619251,290.9148214,68.77216453,2.111739333,2.536737071,3.54347322,41859,0,2469,10.68,38.093,,0.065,22.5299,,0.709,0.289,,,X,N,N,1.12078
   371 Bohemia (1893 AD),2.727509925,0.064748871,,7.401166711,283.3906412,342.5456106,2.550906736,2.904113114,4.504615343,46037,0,2289,8.72,52.976,,0.234,10.7391,,0.822,0.511,,S,QSV,N,N,1.53546
   372 Palma (1893 AH),3.150140554,0.258991758,,23.82595627,327.3569989,115.5748777,2.334280115,3.966000993,5.591175183,45875,0,2049,7.5,173.642,,0.059,8.567,,,,,B,BFC,N,N,1.44687
   373 Melusina (1893 AJ),3.121227924,0.138199129,,15.37650014,3.666786559,348.3957855,2.689876944,3.552578904,5.514376665,42872,0,2578,9.13,98.695,,0.04,12.97,,0.669,0.371,,,C,N,N,1.68617
   374 Burgundia (1893 AK),2.780097674,0.079668187,,8.993765426,219.0158602,25.3383735,2.558612333,3.001583016,4.635518129,42269,0,2562,8.67,44.67,,0.3014,6.972,,0.847,0.448,,S,S,N,N,1.5492
   375 Ursula (1893 AL),3.127897915,0.105379732,0.27,15.92968633,336.5006976,341.4626032,2.79828087,3.457514959,5.532062247,45973,0,2017,7.47,216,,0.042,16.899,,0.683,0.341,,Xc,C,N,N,1.78953
   376 Geometria (1893 AM),2.288772727,0.172103868,,5.432401406,301.9867859,316.7988326,1.894866087,2.682679367,3.462678792,43875,0,2463,9.49,35.465,,0.321,7.74,,0.891,0.476,,Sl,S,N,N,0.883498
   377 Campania (1893 AN),2.689278346,0.077943635,,6.678633275,210.120859,195.6395218,2.479666217,2.898890476,4.410236048,45969,0,2719,8.89,90.346,,0.06,11.664,,0.73,0.305,,Ch,PD,N,N,1.48865
   378 Holmia (1893 AP),2.776387093,0.130224869,,7.006095037,232.4504031,157.5831962,2.414832449,3.137941738,4.626240726,45744,0,2497,9.8,27.831,,0.339,4.45,,0.874,0.424,,S,S,N,N,1.42166
   379 Huenna (1894 AQ),3.14338215,0.180413611,,1.669675604,171.9096935,180.2608705,2.576273225,3.710491075,5.573191631,45880,0,3634,8.87,84.787,,0.046,14.141,,0.672,0.287,,C,B,N,N,1.56993
   380 Fiducia (1894 AR),2.678427633,0.112752873,,6.162202405,95.0441131,239.6153704,2.376427222,2.980428044,4.383571328,45878,0,2841,9.42,67.508,,0.066,13.69,,0.707,0.376,,,C,N,N,1.37235
   381 Myrrha (1894 AS),3.225266728,0.090122891,,12.55618834,125.0805517,143.4040796,2.934596366,3.51593709,5.79237482,45740,0,2581,8.25,127.639,,0.064,6.572,,0.683,0.3,,Cb,C,N,N,1.92842
   382 Dodona (1894 AT),3.122177861,0.171766847,,7.390377306,313.4853457,270.292303,2.585891214,3.658464507,5.516894284,45857,0,2687,8.77,65.209,,0.129,4.113,,0.69,0.243,,,M,N,N,1.5908
   383 Janina (1894 AU),3.139727934,0.167209715,,2.659582178,92.78022155,324.2494039,2.614734921,3.664720947,5.563476111,45859,0,3070,9.91,43.482,,0.101,6.4,,0.682,0.352,,B,B,N,N,1.62702
